DBName,Client Names,Client Numbers,Location Name,Location Phone Number
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,.NSN NORTH SHORE NEPHROLOGY,5163655570
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,.NN NASSAU NEPHROLOGY,5164090106
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,.IRP A ISLAND RENAL PHYSICIANS,5167647070
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,.IRP B ISLAND RENAL PHYSICIANS,5167647070
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,.RCA RENAL CARE ASSOCIATES,5167645807
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,.LS LOUIS SWARTZ,5165463676
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,.LR LANCE RUBEL,5168016959
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,NSN Bayside Dialysis,7184236638
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,NSN CECR North Shore University,5165628000
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,NSN Julia Israel Waldbaum Dialysis,5164658250
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,NSN LIJ Hospital ER,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,NSN LIJ Hospital IP,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,NSN LIJ Hospital OP,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,NSN LIJ Medical Center Dialysis,5168766000
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,NSN NHP Dialysis,5163275555
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,NSN Northwell Health ER,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,NSN Northwell Health IP,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,NSN Northwell Health OP,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,NSN Parker Jewish SNF,7182892100
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,NSN Port Washington Dialysis,5164843460
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,NSN Queens Long Island Renal,7182892100
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,NSN St Francis Hospital ER,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,NSN St Francis Hospital IP,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,NSN St Francis Hospital OP,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,NSN True North Dialysis,5169210914
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,NN Freeport Kidney Center,5166231786
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,NN Fresenius Dialysis Ctr Bellmore,5167852093
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,NN Fresenius Dialysis Ctr Hempstea,5164836702
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,NN Garden Care Center,5167752100
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,NN Mercy Medical Hospital ER,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,NN Mercy Medical Hospital IP,5167052525
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,NN Mercy Medical Hospital OP,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,NN Mount Sinai South Nassau ER,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,NN Mount Sinai South Nassau IP,5166323000
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,NN Mount Sinai South Nassau OP,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,NN South Nassau OP Dialysis Center,5162558000
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,NN St Joseph Hospital ER,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,NN St Joseph Hospital IP,5165796000
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,NN St Joseph Hospital OP,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,IRP Floral Park Dialysis,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,IRP Freeport Kidney Center,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,IRP Fresenius Dialysis Ctr Bellmore,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,IRP Fresenius Ctr Hempstead,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,IRP Fresenius Kidney Care Hicksvill,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,IRP Huntington Dialysis,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,IRP Mercy Medical Hospital ER,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,IRP Mercy Medical Hospital IP,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,IRP Mercy Medical Hospital OP,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,IRP Northwell Health System ER,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,IRP Northwell Health System IP,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,IRP Northwell Health System OP,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,IRP Queens Village Dialysis Center,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,IRP Mount Sinai South Nassau ER,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,IRP Mount Sinai South Nassau IP,5166323000
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,IRP Mount Sinai South Nassau OP,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,IRP South Nassau OP Dialysis Center,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,IRP St Joseph Hospital ER,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,IRP St Joseph Hospital IP,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,IRP St Joseph Hospital OP,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,IRP Woodmere Dialysis,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,IRP Woodmere Rehab and Health SNF,5163749300
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,RCA Freeport Kidney Center,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,RCA LIJ Med Ctr Satellite Dialysis,5168766000
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,RCA LIJ Valley Stream ER,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,RCA LIJ Valley Stream IP,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,RCA LIJ Valley Stream OP,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,RCA Lynbrook Dialysis,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,RCA Mercy Medical Hospital ER,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,RCA Mercy Medical Hospital IP,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,RCA Mercy Medical Hospital OP,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,RCA Queens Village Dialysis Center,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,RCA Mount Sinai South Nassau ER,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,RCA Mount Sinai South Nassau IP,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,RCA Mount Sinai South Nassau OP,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,RCA South Nassau Dialysis,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,RCA Woodmere Rehab and Health SNF,5163749300
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,LS Freeport Kidney Center,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,LS Fresenius Dialysis Ctr Bellmore,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,LS Fresenius Dialysis Ctr Hempstea,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,LS Meadowbrook Care Center,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,LS Mercy Medical Hospital ER,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,LS Mercy Medical Hospital IP,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,LS Mercy Medical Hospital OP,
phpn_CureMD,PRINE HEALTH MEDICAL GROUP PLLC,5164072727,LS Mount Sinai South Nassau ER,
